gradeId,gradeLabel,subjectId,subjectName,competencyId,competencyName,outcomeId,outcomeName,indicatorId,indicatorName,weight,difficulty
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.4,Places 5-6 objects of two groups in one-to-one correspondence,3.4-shapes-1,Shapes 1,-1.18,-1.18
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.4,Places 5-6 objects of two groups in one-to-one correspondence,3.4-count-and-match,Count and Match,-1.19,-1.19
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.4,Places 5-6 objects of two groups in one-to-one correspondence,3.4-count-and-pair,Count and Pair,-1.21,-1.21
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.4,Places 5-6 objects of two groups in one-to-one correspondence,3.4-how-many?,How Many?,-1.22,-1.22
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-prepositions,Prepositions,-0.99,-0.99
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-prepositions-2,Prepositions 2,-0.98,-0.98
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-prepositions-3,Prepositions 3,-0.97,-0.97
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-match-coloured-objects,Match Coloured Objects,-0.96,-0.96
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-match-coloured-objects-2,Match Coloured Objects 2,-0.95,-0.95
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-match-blue-shadows,Match Blue Shadows,-1.01,-1.01
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-shapes,Shapes,-1.02,-1.02
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-shapes-and-objects,Shapes and Objects,-1.03,-1.03
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-match-figures,Match Figures,-1.04,-1.04
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.5,"Compares and classifies objects by three factors like shape, color and size , etc. Correctly uses position words (besides, inside, under) to describe objects",3.5-animals-and-babies,Animals and Babies,-1.05,-1.05
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,3.6,"Seriates/arranges 4–5 picture cards/ objects in a sequence for example- shape, size, occurrence of events",3.6-shape-sequence,Shape Sequence,-0.9,-0.9
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,4.5,Uses some technological tools available around him/her.,4.5-shape-sequence,Shape Sequence,-0.54,-0.54
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,4.5,Uses some technological tools available around him/her.,4.5-match-figures,Match Figures,-0.55,-0.55
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,4.5,Uses some technological tools available around him/her.,4.5-stringed-objects,Stringed objects,-0.56,-0.56
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,4.5,Uses some technological tools available around him/her.,4.5-tiny-objects,Tiny Objects,-0.57,-0.57
3,3,math,Mathematics,pre-number-concept,Pre-Number Concept,4.5,Uses some technological tools available around him/her.,4.5-3d-shapes,3D Shapes,-0.58,-0.58
